sample,gt,mass,mean,SD
1,W115,mz107,154.8,28.6565873753313
1,W115,mz109,1.38,0.0529150262212918
1,W115,mz121,26.308,6.61679076290009
1,W115,mz123,0.604,0.10807404868885
1,W115,mz137,262.4,85.7717902343189
1,W115,mz151,0.244,0.0712741187248219
1,W115,mz153,0.78,0.354964786985977
1,W115,mz165,16.964,5.32941647837735
1,W115,mz167,0.192,0.0782304288624318
1,W115,mz213,0,0
1,W115,mz229,0,0
10,P.axN,mz107,11.1914285714286,7.59596258673301
10,P.axN,mz109,0.605714285714286,0.14638501094228
10,P.axN,mz121,1.03428571428571,0.706796933186545
10,P.axN,mz123,0.237142857142857,0.0482059075613096
10,P.axN,mz137,67.1314285714286,37.2304496474644
10,P.axN,mz151,0.125714285714286,0.0442933941113657
10,P.axN,mz153,0.262857142857143,0.0760951784969073
10,P.axN,mz165,8.35714285714286,4.07722828355127
10,P.axN,mz167,0.122857142857143,0.0372890894294322
10,P.axN,mz213,0,0
10,P.axN,mz229,0,0
2,W115,mz107,207.584,103.272383917483
2,W115,mz109,1.676,0.488344140949802
2,W115,mz121,37.552,16.1155862443785
2,W115,mz123,0.728,0.282347303865293
2,W115,mz137,338.8,161.211662109166
2,W115,mz151,0.276,0.0477493455452533
2,W115,mz153,1.068,0.543065373596955
2,W115,mz165,21.112,4.05836420248356
2,W115,mz167,0.224,0.0497995983919549
2,W115,mz213,0,0
2,W115,mz229,0,0
3,W115,mz107,63.868,20.491093675058
3,W115,mz109,0.88,0.02
3,W115,mz121,11.416,5.63232456451153
3,W115,mz123,0.408,0.0414728827066554
3,W115,mz137,148.8,22.1178660815188
3,W115,mz151,0.18,0.0469041575982343
3,W115,mz153,0.88,0.369594372251527
3,W115,mz165,11.956,4.170213423795
3,W115,mz167,0.136,0.0817312669668102
3,W115,mz213,0,0
3,W115,mz229,0,0
4,W115,mz107,187.58,133.261293204991
4,W115,mz109,1.62,0.875747299929228
4,W115,mz121,23.625,10.7443178781469
4,W115,mz123,0.63,0.281661735657035
4,W115,mz137,265.5,208.181811565436
4,W115,mz151,0.2,0.0711805216802087
4,W115,mz153,1.31,1.02404426987639
4,W115,mz165,14.04,7.01257917364693
4,W115,mz167,0.17,0.0683130051063973
4,W115,mz213,0,0
4,W115,mz229,0,0
5,W115,mz107,116.553333333333,87.9428620563754
5,W115,mz109,1.20666666666667,0.529402178562448
5,W115,mz121,24.61,16.3436336229126
5,W115,mz123,0.593333333333333,0.317658097121208
5,W115,mz137,269.666666666667,175.560435937789
5,W115,mz151,0.293333333333333,0.109300808170236
5,W115,mz153,0.983333333333333,0.556764462467448
5,W115,mz165,19.9266666666667,8.99776564857447
5,W115,mz167,0.21,0.0734846922834953
5,W115,mz213,0,0
5,W115,mz229,0,0
6,P.axN,mz107,8.952,3.15070150918807
6,P.axN,mz109,0.636,0.0887693640846886
6,P.axN,mz121,0.916,0.359833294735215
6,P.axN,mz123,0.22,0.0316227766016838
6,P.axN,mz137,54.384,15.1836846647973
6,P.axN,mz151,0.124,0.03286335345031
6,P.axN,mz153,0.18,0.0316227766016838
6,P.axN,mz165,8.372,1.68882207470177
6,P.axN,mz167,0.136,0.0219089023002066
6,P.axN,mz213,0,0
6,P.axN,mz229,0,0
7,P.axN,mz107,6.23333333333333,4.2217279242825
7,P.axN,mz109,0.6,0.0839047078536121
7,P.axN,mz121,0.813333333333333,0.69393563582415
7,P.axN,mz123,0.196666666666667,0.0344480284873702
7,P.axN,mz137,42.7166666666667,25.7233167897662
7,P.axN,mz151,0.116666666666667,0.0196638416050035
7,P.axN,mz153,0.206666666666667,0.0688960569747403
7,P.axN,mz165,6.81666666666667,2.50415388238556
7,P.axN,mz167,0.116666666666667,0.0196638416050035
7,P.axN,mz213,0,0
7,P.axN,mz229,0,0
8,P.axN,mz107,5.40666666666667,3.55083464366713
8,P.axN,mz109,0.56,0.135055544129073
8,P.axN,mz121,0.566666666666667,0.300044441152751
8,P.axN,mz123,0.18,0.0178885438199983
8,P.axN,mz137,37.9533333333333,12.721488382523
8,P.axN,mz151,0.0866666666666667,0.032659863237109
8,P.axN,mz153,0.206666666666667,0.0372379734500505
8,P.axN,mz165,4.64,2.81385145307992
8,P.axN,mz167,0.08,0.0219089023002066
8,P.axN,mz213,0,0
8,P.axN,mz229,0,0
9,P.axN,mz107,6.01,5.7713048784482
9,P.axN,mz109,0.686666666666667,0.257578467008923
9,P.axN,mz121,0.69,0.594339970050812
9,P.axN,mz123,0.22,0.0885437744847146
9,P.axN,mz137,51.65,49.1197634359124
9,P.axN,mz151,0.0766666666666667,0.0463321342770508
9,P.axN,mz153,0.17,0.0414728827066554
9,P.axN,mz165,5.18666666666667,4.2334036739563
9,P.axN,mz167,0.0933333333333333,0.0615358973824764
9,P.axN,mz213,0,0
9,P.axN,mz229,0,0
