Cycle - m/z 18.00 ch0	Amplitude - m/z 18.00 ch0	Cycle - m/z 21.00 ch1	Amplitude - m/z 21.00 ch1	Cycle - m/z 25.00 ch2	Amplitude - m/z 25.00 ch2	Cycle - m/z 30.00 ch3	Amplitude - m/z 30.00 ch3	Cycle - m/z 32.00 ch4	Amplitude - m/z 32.00 ch4	Cycle - m/z 37.00 ch5	Amplitude - m/z 37.00 ch5	Cycle - m/z 59.00 ch6	Amplitude - m/z 59.00 ch6	Cycle - m/z 107.00 ch7	Amplitude - m/z 107.00 ch7	Cycle - m/z 137.00 ch8	Amplitude - m/z 137.00 ch8	Cycle - m/z 121.00 ch9	Amplitude - m/z 121.00 ch9	Cycle - m/z 123.00 ch10	Amplitude - m/z 123.00 ch10	Cycle - m/z 151.00 ch11	Amplitude - m/z 151.00 ch11	Cycle - m/z 153.00 ch12	Amplitude - m/z 153.00 ch12	Cycle - m/z 165.00 ch13	Amplitude - m/z 165.00 ch13	Cycle - m/z 213.00 ch14	Amplitude - m/z 213.00 ch14	Cycle - m/z 229.00 ch15	Amplitude - m/z 229.00 ch15	Cycle - m/z 271.00 ch16	Amplitude - m/z 271.00 ch16	Cycle - m/z 109.00 ch17	Amplitude - m/z 109.00 ch17	Cycle - m/z 131.00 ch18	Amplitude - m/z 131.00 ch18	Cycle - m/z 138.00 ch19	Amplitude - m/z 138.00 ch19	Cycle - m/z 167.00 ch20	Amplitude - m/z 167.00 ch20	Cycle - m/z 179.00 ch21	Amplitude - m/z 179.00 ch21	Cycle - m/z 181.00 ch22	Amplitude - m/z 181.00 ch22	Cycle - m/z 193.00 ch23	Amplitude - m/z 193.00 ch23	Cycle - m/z 205.00 ch24	Amplitude - m/z 205.00 ch24	Cycle - m/z 285.00 ch25	Amplitude - m/z 285.00 ch25	Cycle - m/z 295.00 ch26	Amplitude - m/z 295.00 ch26	Cycle - m/z 299.00 ch27	Amplitude - m/z 299.00 ch27	Cycle - m/z 327.00 ch28	Amplitude - m/z 327.00 ch28	Cycle - m/z 59.00 ch29	Amplitude - m/z 59.00 ch29	
0	4,7E+2	0	7,0E+7	0	0,0	0	0,1	0	0,2	0	0,9	0	2,0	0	0,2	0	0,1	0	0,1	0	0,1	0	0,0	0	0,0	0	0,0	0	0,0	0	0,0	0	0,0	0	0,4	0	0,1	0	0,0	0	0,0	0	0,0	0	0,0	0	0,0	0	0,0	0	0,0	0	0,0	0	0,0	0	NaN	0	1,9	
1	5,2E+2	1	6,9E+7	1	0,0	1	0,1	1	0,2	1	0,9	1	1,9	1	0,2	1	0,1	1	0,2	1	0,1	1	0,0	1	0,1	1	0,0	1	0,0	1	0,0	1	0,0	1	0,3	1	0,0	1	0,0	1	0,0	1	0,0	1	0,0	1	0,0	1	0,0	1	0,0	1	0,0	1	0,0	1	NaN	1	1,9	
2	5,2E+2	2	6,8E+7	2	0,0	2	0,1	2	0,2	2	0,9	2	2,2	2	0,4	2	0,1	2	0,2	2	0,1	2	0,0	2	0,1	2	0,0	2	0,0	2	0,0	2	0,0	2	0,5	2	0,1	2	0,0	2	0,1	2	0,0	2	0,0	2	0,0	2	0,0	2	0,0	2	0,0	2	0,0	2	NaN	2	1,7	
3	5,1E+2	3	7,0E+7	3	0,0	3	0,1	3	0,2	3	0,9	3	2,1	3	0,2	3	0,1	3	0,2	3	0,1	3	0,0	3	0,0	3	0,0	3	0,0	3	0,0	3	0,0	3	0,5	3	0,1	3	0,0	3	0,0	3	0,0	3	0,0	3	0,0	3	0,0	3	0,0	3	0,0	3	0,0	3	NaN	3	5,6	
4	5,2E+2	4	7,3E+7	4	0,0	4	0,1	4	0,2	4	1,2	4	3,5	4	4,6	4	42,1	4	0,5	4	0,2	4	0,0	4	0,5	4	0,1	4	0,0	4	0,0	4	0,0	4	0,6	4	0,0	4	2,1	4	0,0	4	0,0	4	0,0	4	0,0	4	0,0	4	0,0	4	0,0	4	0,0	4	NaN	4	2,2	
5	5,2E+2	5	7,0E+7	5	0,0	5	0,1	5	0,2	5	1,0	5	2,5	5	2,8	5	22,0	5	0,3	5	0,1	5	0,0	5	0,5	5	1,3	5	0,0	5	0,0	5	0,0	5	0,5	5	0,1	5	1,9	5	0,0	5	0,0	5	0,0	5	0,0	5	0,0	5	0,0	5	0,0	5	0,0	5	NaN	5	2,1	
6	5,0E+2	6	7,4E+7	6	0,0	6	0,1	6	0,2	6	1,0	6	2,0	6	2,2	6	18,8	6	0,4	6	0,1	6	0,0	6	0,4	6	2,0	6	0,0	6	0,0	6	0,0	6	0,3	6	0,1	6	1,7	6	0,0	6	0,0	6	0,0	6	0,0	6	0,0	6	0,0	6	0,0	6	0,0	6	NaN	6	2,4	
7	5,1E+2	7	7,1E+7	7	0,0	7	0,1	7	0,2	7	1,0	7	2,2	7	2,3	7	17,1	7	0,3	7	0,1	7	0,1	7	0,2	7	2,3	7	0,0	7	0,0	7	0,0	7	0,6	7	0,1	7	1,6	7	0,1	7	0,0	7	0,0	7	0,0	7	0,0	7	0,0	7	0,0	7	0,0	7	NaN	7	1,8	
8	5,1E+2	8	7,2E+7	8	0,0	8	0,1	8	0,2	8	1,0	8	1,7	8	2,0	8	16,9	8	0,3	8	0,1	8	0,1	8	0,3	8	2,6	8	0,0	8	0,0	8	0,0	8	0,4	8	0,1	8	1,3	8	0,0	8	0,0	8	0,0	8	0,0	8	0,0	8	0,0	8	0,0	8	0,0	8	NaN	8	2,1	
9	4,9E+2	9	7,3E+7	9	0,0	9	0,1	9	0,2	9	1,0	9	2,3	9	1,7	9	15,8	9	0,3	9	0,1	9	0,1	9	0,2	9	2,8	9	0,0	9	0,0	9	0,0	9	0,4	9	0,0	9	1,3	9	0,0	9	0,0	9	0,0	9	0,0	9	0,0	9	0,0	9	0,0	9	0,0	9	NaN	9	2,4	
10	5,0E+2	10	7,4E+7	10	0,0	10	0,1	10	0,2	10	0,9	10	2,0	10	2,1	10	14,4	10	0,2	10	0,1	10	0,1	10	0,2	10	2,6	10	0,0	10	0,0	10	0,0	10	0,4	10	0,1	10	1,3	10	0,1	10	0,0	10	0,0	10	0,0	10	0,0	10	0,0	10	0,0	10	0,0	10	NaN	10	1,7	
11	4,9E+2	11	7,2E+7	11	0,0	11	0,1	11	0,2	11	1,0	11	2,1	11	2,1	11	15,1	11	0,2	11	0,1	11	0,1	11	0,3	11	2,9	11	0,0	11	0,0	11	0,0	11	0,5	11	0,1	11	1,4	11	0,0	11	0,0	11	0,0	11	0,0	11	0,0	11	0,0	11	0,0	11	0,0	11	Inf	11	2,0	
12	5,2E+2	12	7,2E+7	12	0,0	12	0,1	12	0,2	12	1,0	12	2,2	12	1,7	12	14,0	12	0,1	12	0,1	12	0,1	12	0,3	12	3,2	12	0,0	12	0,0	12	0,0	12	0,6	12	0,0	12	1,2	12	0,0	12	0,0	12	0,1	12	0,0	12	0,0	12	0,0	12	0,0	12	0,0	12	NaN	12	2,2	
13	4,9E+2	13	7,3E+7	13	0,0	13	0,1	13	0,2	13	0,9	13	2,3	13	1,6	13	13,3	13	0,3	13	0,1	13	0,1	13	0,1	13	3,0	13	0,0	13	0,0	13	0,0	13	0,5	13	0,1	13	1,4	13	0,0	13	0,0	13	0,0	13	0,0	13	0,0	13	0,0	13	0,0	13	0,0	13	NaN	13	2,2	
14	4,8E+2	14	7,4E+7	14	0,0	14	0,1	14	0,2	14	0,9	14	2,3	14	1,5	14	12,6	14	0,2	14	0,1	14	0,1	14	0,2	14	3,3	14	0,0	14	0,0	14	0,0	14	0,5	14	0,1	14	1,3	14	0,1	14	0,0	14	0,0	14	0,0	14	0,0	14	0,0	14	0,0	14	0,0	14	NaN	14	1,8	
15	5,1E+2	15	7,1E+7	15	0,0	15	0,1	15	0,2	15	1,0	15	2,6	15	1,6	15	12,9	15	0,2	15	0,3	15	0,1	15	0,2	15	2,9	15	0,0	15	0,0	15	0,0	15	0,6	15	0,1	15	1,4	15	0,0	15	0,0	15	0,0	15	0,0	15	0,0	15	0,0	15	0,0	15	0,0	15	NaN	15	2,0	
16	4,9E+2	16	7,4E+7	16	0,0	16	0,1	16	0,2	16	0,9	16	2,3	16	1,9	16	12,7	16	0,2	16	0,2	16	0,1	16	0,2	16	3,1	16	0,0	16	0,0	16	0,0	16	0,4	16	0,1	16	1,0	16	0,0	16	0,0	16	0,1	16	0,0	16	0,0	16	0,0	16	0,0	16	0,0	16	NaN	16	2,1	
17	5,0E+2	17	7,3E+7	17	0,0	17	0,1	17	0,2	17	0,9	17	2,1	17	1,9	17	12,4	17	0,2	17	0,1	17	0,1	17	0,2	17	3,1	17	0,0	17	0,0	17	0,0	17	0,5	17	0,0	17	1,3	17	0,1	17	0,0	17	0,0	17	0,0	17	0,0	17	0,0	17	0,0	17	0,0	17	NaN	17	2,1	
18	5,0E+2	18	7,3E+7	18	0,0	18	0,1	18	0,2	18	0,9	18	2,0	18	1,9	18	11,7	18	0,2	18	0,2	18	0,1	18	0,2	18	2,9	18	0,0	18	0,0	18	0,0	18	0,4	18	0,0	18	1,0	18	0,0	18	0,0	18	0,0	18	0,0	18	0,0	18	0,0	18	0,0	18	0,0	18	NaN	18	2,5	
19	4,9E+2	19	7,3E+7	19	0,0	19	0,1	19	0,2	19	0,9	19	2,3	19	1,8	19	12,2	19	0,2	19	0,1	19	0,1	19	0,2	19	3,2	19	0,0	19	0,0	19	0,0	19	0,4	19	0,1	19	1,1	19	0,0	19	0,0	19	0,0	19	0,0	19	0,0	19	0,0	19	0,0	19	0,0	19	NaN	19	1,7	
20	4,9E+2	20	7,4E+7	20	0,0	20	0,1	20	0,2	20	1,0	20	2,2	20	1,7	20	11,5	20	0,2	20	0,1	20	0,0	20	0,2	20	2,7	20	0,0	20	0,0	20	0,0	20	0,2	20	0,1	20	1,1	20	0,1	20	0,0	20	0,1	20	0,0	20	0,0	20	0,0	20	0,0	20	0,0	20	NaN	20	1,9	
21	5,0E+2	21	7,2E+7	21	0,0	21	0,1	21	0,2	21	0,9	21	1,8	21	1,9	21	11,7	21	0,2	21	0,2	21	0,1	21	0,1	21	2,7	21	0,0	21	0,0	21	0,0	21	0,5	21	0,1	21	0,9	21	0,1	21	0,0	21	0,0	21	0,0	21	0,0	21	0,0	21	0,0	21	0,0	21	NaN	21	2,0	
22	4,9E+2	22	7,4E+7	22	0,0	22	0,1	22	0,2	22	0,9	22	2,1	22	1,8	22	11,0	22	0,2	22	0,2	22	0,1	22	0,3	22	2,6	22	0,0	22	0,0	22	0,0	22	0,3	22	0,0	22	1,1	22	0,0	22	0,0	22	0,0	22	0,0	22	0,0	22	0,0	22	0,0	22	0,0	22	NaN	22	2,1	
23	4,8E+2	23	7,4E+7	23	0,0	23	0,1	23	0,2	23	0,9	23	1,8	23	1,8	23	10,7	23	0,3	23	0,2	23	0,0	23	0,2	23	2,8	23	0,0	23	0,0	23	0,0	23	0,4	23	0,1	23	1,1	23	0,0	23	0,0	23	0,0	23	0,0	23	0,0	23	0,0	23	0,0	23	0,0	23	NaN	23	1,9	
24	5,0E+2	24	7,2E+7	24	0,0	24	0,1	24	0,2	24	1,0	24	1,6	24	2,0	24	10,5	24	0,1	24	0,1	24	0,0	24	0,2	24	3,0	24	0,0	24	0,0	24	0,0	24	0,4	24	0,0	24	1,0	24	0,1	24	0,0	24	0,0	24	0,0	24	0,0	24	0,0	24	0,0	24	0,0	24	NaN	24	2,5	
25	4,7E+2	25	7,4E+7	25	0,0	25	0,1	25	0,2	25	1,0	25	2,2	25	3,6	25	23,0	25	0,3	25	0,2	25	0,1	25	0,2	25	3,0	25	0,0	25	0,0	25	0,0	25	0,4	25	0,1	25	1,0	25	0,1	25	0,1	25	0,0	25	0,0	25	0,0	25	0,0	25	0,0	25	0,0	25	NaN	25	8,1	
26	4,8E+2	26	7,6E+7	26	0,0	26	0,1	26	0,2	26	1,1	26	3,9	26	2,6E+2	26	4,0E+2	26	31,5	26	0,5	26	0,0	26	1,0	26	4,2	26	0,0	26	0,0	26	0,0	26	1,6	26	0,0	26	29,2	26	0,1	26	0,0	26	0,1	26	0,0	26	0,0	26	0,0	26	0,0	26	0,0	26	NaN	26	2,1	
27	4,9E+2	27	7,3E+7	27	0,0	27	0,1	27	0,2	27	0,9	27	2,0	27	1,5E+2	27	3,0E+2	27	28,1	27	0,6	27	0,1	27	1,1	27	10,6	27	0,0	27	0,0	27	0,0	27	1,7	27	0,1	27	25,5	27	0,2	27	0,1	27	0,1	27	0,0	27	0,0	27	0,0	27	0,0	27	0,0	27	NaN	27	2,1	
28	4,8E+2	28	7,4E+7	28	0,0	28	0,1	28	0,2	28	0,9	28	2,2	28	1,4E+2	28	2,7E+2	28	26,7	28	0,6	28	0,2	28	1,1	28	16,3	28	0,0	28	0,0	28	0,0	28	1,5	28	0,0	28	23,1	28	0,2	28	0,0	28	0,2	28	0,0	28	0,0	28	0,0	28	0,0	28	0,0	28	NaN	28	1,9	
29	4,7E+2	29	7,5E+7	29	0,0	29	0,1	29	0,2	29	0,9	29	1,8	29	1,4E+2	29	2,6E+2	29	25,3	29	0,4	29	0,2	29	1,0	29	19,5	29	0,0	29	0,0	29	0,0	29	1,4	29	0,1	29	21,6	29	0,2	29	0,0	29	0,0	29	0,0	29	0,0	29	0,0	29	0,0	29	0,0	29	Inf	29	1,7	
30	4,6E+2	30	7,5E+7	30	0,0	30	0,1	30	0,2	30	0,9	30	2,7	30	1,4E+2	30	2,5E+2	30	26,0	30	0,6	30	0,3	30	1,1	30	20,0	30	0,0	30	0,0	30	0,0	30	1,2	30	0,1	30	20,8	30	0,2	30	0,0	30	0,1	30	0,0	30	0,0	30	0,0	30	0,0	30	0,0	30	NaN	30	2,3	
31	4,8E+2	31	7,4E+7	31	0,0	31	0,1	31	0,2	31	0,9	31	2,0	31	1,3E+2	31	2,4E+2	31	26,4	31	0,5	31	0,3	31	1,1	31	20,2	31	0,0	31	0,0	31	0,0	31	1,5	31	0,1	31	21,1	31	0,2	31	0,0	31	0,1	31	0,0	31	0,0	31	0,0	31	0,0	31	0,0	31	NaN	31	2,1	
32	4,9E+2	32	7,3E+7	32	0,0	32	0,1	32	0,2	32	0,9	32	2,2	32	1,3E+2	32	2,3E+2	32	26,0	32	0,6	32	0,3	32	0,7	32	21,8	32	0,0	32	0,0	32	0,0	32	1,2	32	0,1	32	20,7	32	0,2	32	0,0	32	0,1	32	0,0	32	0,0	32	0,0	32	0,0	32	0,0	32	Inf	32	2,3	
33	4,9E+2	33	7,3E+7	33	0,0	33	0,1	33	0,2	33	0,9	33	1,8	33	1,3E+2	33	2,2E+2	33	25,3	33	0,6	33	0,3	33	0,9	33	21,9	33	0,0	33	0,0	33	0,0	33	1,3	33	0,1	33	19,1	33	0,2	33	0,0	33	0,1	33	0,0	33	0,0	33	0,0	33	0,0	33	0,0	33	NaN	33	1,9	
34	4,7E+2	34	7,6E+7	34	0,0	34	0,1	34	0,2	34	0,9	34	2,1	34	1,2E+2	34	2,1E+2	34	24,6	34	0,3	34	0,2	34	0,9	34	21,5	34	0,0	34	0,0	34	0,0	34	1,3	34	0,0	34	17,4	34	0,2	34	0,0	34	0,1	34	0,0	34	0,0	34	0,0	34	0,0	34	0,0	34	NaN	34	2,1	
35	4,8E+2	35	7,4E+7	35	0,0	35	0,1	35	0,2	35	0,9	35	2,5	35	1,2E+2	35	2,1E+2	35	25,1	35	0,5	35	0,2	35	0,9	35	21,0	35	0,0	35	0,0	35	0,0	35	1,0	35	0,0	35	17,7	35	0,2	35	0,0	35	0,1	35	0,0	35	0,0	35	0,0	35	0,0	35	0,0	35	NaN	35	2,0	
36	4,8E+2	36	7,3E+7	36	0,0	36	0,1	36	0,2	36	0,9	36	2,1	36	1,2E+2	36	2,0E+2	36	23,9	36	0,5	36	0,2	36	0,7	36	20,4	36	0,0	36	0,0	36	0,0	36	0,9	36	0,0	36	17,7	36	0,3	36	0,0	36	0,1	36	0,0	36	0,0	36	0,0	36	0,0	36	0,0	36	NaN	36	2,5	
37	4,8E+2	37	7,4E+7	37	0,0	37	0,1	37	0,2	37	0,9	37	2,4	37	1,1E+2	37	1,9E+2	37	24,3	37	0,5	37	0,3	37	0,9	37	20,5	37	0,0	37	0,0	37	0,0	37	1,2	37	0,0	37	16,8	37	0,3	37	0,1	37	0,1	37	0,0	37	0,0	37	0,0	37	0,0	37	0,0	37	NaN	37	2,0	
38	4,8E+2	38	7,5E+7	38	0,0	38	0,1	38	0,2	38	0,9	38	1,8	38	1,1E+2	38	1,8E+2	38	23,6	38	0,5	38	0,3	38	1,1	38	21,7	38	0,0	38	0,0	38	0,0	38	1,0	38	0,0	38	16,0	38	0,2	38	0,0	38	0,1	38	0,0	38	0,0	38	0,0	38	0,0	38	0,0	38	NaN	38	1,9	
